Series Name,id
"Lower secondary completion rate, male (% of relevant age group)",1
"Lower secondary completion rate, female (% of relevant age group)",1
"Literacy rate, youth total (% of people ages 15-24)",1
"Literacy rate, youth male (% of males ages 15-24)",1
"Literacy rate, youth female (% of females ages 15-24)",1
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",1
"Literacy rate, adult total (% of people ages 15 and above)",1
"Literacy rate, adult male (% of males ages 15 and above)",1
"Mortality rate, infant, female (per 1,000 live births)",1
"Mortality rate, infant (per 1,000 live births)",1
"Mortality rate, adult, male (per 1,000 male adults)",1
"Mortality rate, adult, female (per 1,000 female adults)",1
Monetary Sector credit to private sector (% GDP),1
Mobile cellular subscriptions (per 100 people),1
Mobile cellular subscriptions,1
Military expenditure (current USD),1
Methane (CH4) emissions from Waste (Mt CO2e),1
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),1
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),1
Methane (CH4) emissions from Industrial Processes (Mt CO2e),1
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),1
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),1
Methane (CH4) emissions from Agriculture (Mt CO2e),1
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),1
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",1
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",1
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",1
"Net bilateral aid flows from DAC donors, Ireland (current US$)",1
"Net bilateral aid flows from DAC donors, Germany (current US$)",1
"Net bilateral aid flows from DAC donors, Finland (current US$)",1
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",1
"Net bilateral aid flows from DAC donors, Denmark (current US$)",1
"Net bilateral aid flows from DAC donors, Canada (current US$)",1
"Net bilateral aid flows from DAC donors, Australia (current US$)",1
Net ODA received per capita (current US$),1
"Mortality rate, under-5, male (per 1,000 live births)",1
"Mortality rate, under-5, female (per 1,000 live births)",1
"Mortality rate, under-5 (per 1,000 live births)",1
"Mortality rate, neonatal (per 1,000 live births)",1
"Mortality rate, infant, male (per 1,000 live births)",1
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),1
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),1
"Net official flows from UN agencies, UNTA (current US$)",1
"Net official flows from UN agencies, UNRWA (current US$)",1
"Net official flows from UN agencies, UNICEF (current US$)",1
"Net official flows from UN agencies, IFAD (current US$)",1
Net official development assistance received (current US$),1
Net official development assistance received (constant 2021 US$),1
Net official development assistance and official aid received (current US$),1
Net official development assistance and official aid received (constant 2021 US$),1
"Net bilateral aid flows from DAC donors, United States (current US$)",1
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",1
"Net bilateral aid flows from DAC donors, Total (current US$)",1
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",1
"Net bilateral aid flows from DAC donors, Sweden (current US$)",1
"Net bilateral aid flows from DAC donors, Norway (current US$)",1
Ores and metals imports (% of merchandise imports),1
Ores and metals exports (% of merchandise exports),1
Number of under-five deaths,1
Number of neonatal deaths,1
Number of infant deaths,1
Number of deaths ages 5-9 years,1
Number of deaths ages 20-24 years,1
Number of deaths ages 15-19 years,1
Number of deaths ages 10-14 years,1
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),1
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),1
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),1
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),1
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),1
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),1
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),1
"Population ages 05-09, female (% of female population)",1
"Population ages 00-04, male (% of male population)",1
"Population ages 00-04, female (% of female population)",1
"Population ages 0-14, total",1
"Population ages 0-14, male (% of male population)",1
"Population ages 0-14, male",1
"Population ages 0-14, female (% of female population)",1
"Population ages 0-14, female",1
Population ages 0-14 (% of total population),1
"Personal remittances, received (current US$)",1
"Personal remittances, received (% of GDP)",1
"Personal remittances, paid (current US$)",1
"Persistence to last grade of primary, female (% of cohort)",1
Permanent cropland (% of land area),1
"Patent applications, residents",1
"Patent applications, nonresidents",1
"Population ages 45-49, male (% of male population)",1
"Population ages 45-49, female (% of female population)",1
"Population ages 25-29, female (% of female population)",1
"Population ages 20-24, male (% of male population)",1
"Population ages 20-24, female (% of female population)",1
"Population ages 15-64, total",1
"Population ages 15-64, male (% of male population)",1
"Population ages 15-64, male",1
"Population ages 15-64, female (% of female population)",1
"Population ages 15-64, female",1
Population ages 15-64 (% of total population),1
"Population ages 15-19, male (% of male population)",1
"Population ages 15-19, female (% of female population)",1
"Population ages 10-14, male (% of male population)",1
"Population ages 10-14, female (% of female population)",1
"Population ages 05-09, male (% of male population)",1
"Population ages 70-74, male (% of male population)",1
"Population ages 70-74, female (% of female population)",1
"Population ages 65-69, male (% of male population)",1
"Population ages 65-69, female (% of female population)",1
"Population ages 65 and above, total",1
"Population ages 65 and above, male (% of male population)",1
"Population ages 65 and above, male",1
"Population ages 65 and above, female (% of female population)",1
"Population ages 65 and above, female",1
Population ages 65 and above (% of total population),1
"Population ages 60-64, male (% of male population)",1
"Population ages 60-64, female (% of female population)",1
"Population ages 55-59, male (% of male population)",1
"Population ages 55-59, female (% of female population)",1
"Population ages 50-54, male (% of male population)",1
"Population ages 50-54, female (% of female population)",1
Poverty gap at $6.85 a day (2017 PPP) (%),1
Poverty gap at $3.65 a day (2017 PPP) (%),1
Poverty gap at $2.15 a day (2017 PPP) (%),1
"Population, total",1
"Population, male (% of total population)",1
"Population, male",1
"Population, female (% of total population)",1
"Population, female",1
