,Feature,Non_Zero_Coefficient
288,00342900028673,-0.0
289,00343000030105,-0.0
290,00343100031537,0.0
16872,14321901047256,-0.0
292,00350105000034,0.0
16873,14322201052984,-0.0
294,00350405004330,0.0
295,00350605007194,0.0
296,00350705054450,0.0
297,00350905008626,0.0
298,00351005011490,0.0
299,00351205012922,0.0
300,00351805040130,0.0
301,00351905045858,0.0
302,00352205051586,0.0
303,00352305022946,0.0
304,00352505025810,0.0
305,00352705042994,0.0
306,00352805044426,0.0
16874,14322301024344,0.0
308,00353305032970,0.0
309,00353805037266,0.0
310,00360100000035,0.0
311,00360400004331,0.0
312,00360600007195,-0.0
313,00360700054451,0.0
314,00361000011491,-0.0
315,00361100010059,0.0
316,00361200012923,-0.0
317,00361300014355,-0.0
318,00361500017219,-0.0
319,00361600018651,-0.0
320,00362200051587,0.0
321,00362500025811,0.0
322,00362800044427,0.0
323,00363500047291,0.0
324,00370305002900,0.0
325,00370405004332,0.0
326,00370605007196,0.0
327,00370705054452,0.0
328,00370905008628,0.0
329,00371005011492,0.0
330,00371105010060,0.0
331,00371305014356,0.0
16875,14322401025776,-0.0
333,00371505017220,0.0
334,00371605018652,0.0
335,00372005041564,0.0
336,00372205051588,0.0
337,00372305022948,0.0
338,00372405024380,0.0
339,00372505025812,0.0
340,00372605027244,0.0
341,00372805044428,0.0
342,00373005030108,0.0
343,00373605048724,0.0
344,00380300002901,0.0
345,00380400004333,0.0
346,00380600007197,-0.0
347,00380700054453,0.0
348,00380900008629,-0.0
349,00381200012925,0.0
350,00381500017221,0.0
351,00381600018653,0.0
352,00381900045861,0.0
353,00382100021517,0.0
354,00382300022949,0.0
355,00382400024381,0.0
356,00382500025813,0.0
357,00382600027245,0.0
358,00383000030109,0.0
359,00383500047293,0.0
360,00390404004334,0.0
361,00390504005766,0.0
362,00390604007198,0.0
363,00390704054454,0.0
364,00390804038702,0.0
365,00390904008630,0.0
366,00391204012926,0.0
367,00391304014358,0.0
368,00391504017222,0.0
369,00391804040134,0.0
370,00392104021518,0.0
371,00392204051590,0.0
372,00392304022950,0.0
373,00392404024382,0.0
374,00392504025814,0.0
375,00393004030110,0.0
376,00393204055886,0.0
377,00393804037270,0.0
378,00394004053022,0.0
379,00400400004335,0.0
380,00400500005767,-0.0
381,00400600007199,0.0
382,00401200012927,0.0
383,00401300014359,0.0
384,00401500017223,0.0
385,00401900045863,-0.0
386,00402100021519,-0.0
387,00402500025815,0.0
388,00402800044431,-0.0
389,00402900028679,0.0
390,00403300032975,0.0
391,00403500047295,0.0
392,00403700035839,-0.0
393,00410300002904,0.0
394,00410600007200,0.0
395,00410700054456,0.0
396,00410800038704,0.0
397,00410900008632,0.0
398,00411100010064,0.0
399,00411400015792,0.0
400,00411500017224,0.0
401,00412000041568,0.0
402,00412300022952,0.0
403,00412400024384,0.0
404,00412500025816,0.0
405,00412700043000,0.0
406,00413000030112,0.0
407,00413300032976,0.0
408,00413500047296,0.0
409,00413600048728,0.0
410,00413700035840,0.0
411,00420704054457,0.0
412,00420804038705,0.0
413,00420904008633,0.0
