,Series Name
3223,"Services, value added (constant 2015 US$)"
3224,"Services, value added (constant LCU)"
3227,"Services, value added per worker (constant 2015 US$)"
3233,Taxes less subsidies on products (constant LCU)
3239,Terms of trade adjustment (constant LCU)
3247,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
3249,Adjusted net national income (constant 2015 US$)
3251,Adjusted net national income per capita (constant 2015 US$)
3264,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
3265,"Agriculture, forestry, and fishing, value added (constant LCU)"
3268,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
3292,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
3308,Exports as a capacity to import (constant LCU)
3310,Exports of goods and services (constant 2015 US$)
3311,Exports of goods and services (constant LCU)
3315,External balance on goods and services (constant LCU)
3321,Final consumption expenditure (constant 2015 US$)
3322,Final consumption expenditure (constant LCU)
3332,GDP (constant 2015 US$)
3333,GDP (constant LCU)
3338,GDP per capita (constant 2015 US$)
3339,GDP per capita (constant LCU)
3342,"GDP per capita, PPP (constant 2021 international $)"
3344,GDP per person employed (constant 2021 PPP $)
3345,"GDP, PPP (constant 2021 international $)"
3348,General government final consumption expenditure (constant 2015 US$)
3349,General government final consumption expenditure (constant LCU)
3353,GNI (constant 2015 US$)
3354,GNI (constant LCU)
3357,GNI per capita (constant 2015 US$)
3358,GNI per capita (constant LCU)
3361,"GNI per capita, PPP (constant 2021 international $)"
3364,"GNI, PPP (constant 2021 international $)"
3371,Gross capital formation (constant 2015 US$)
3372,Gross capital formation (constant LCU)
3375,Gross domestic income (constant LCU)
3378,Gross fixed capital formation (constant 2015 US$)
3379,Gross fixed capital formation (constant LCU)
3382,Gross national expenditure (constant 2015 US$)
3383,Gross national expenditure (constant LCU)
3389,Gross value added at basic prices (GVA) (constant 2015 US$)
3390,Gross value added at basic prices (GVA) (constant LCU)
3394,Households and NPISHs Final consumption expenditure (constant 2015 US$)
3395,Households and NPISHs Final consumption expenditure (constant LCU)
3398,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
3399,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
3404,Imports of goods and services (constant 2015 US$)
3405,Imports of goods and services (constant LCU)
3411,"Industry (including construction), value added (constant 2015 US$)"
3412,"Industry (including construction), value added (constant LCU)"
3415,"Industry (including construction), value added per worker (constant 2015 US$)"
3429,"Manufacturing, value added (constant 2015 US$)"
