,Series Name
7789,Gross capital formation (constant LCU)
7792,Gross domestic income (constant LCU)
7795,Gross fixed capital formation (constant 2015 US$)
7796,Gross fixed capital formation (constant LCU)
7799,Gross national expenditure (constant 2015 US$)
7800,Gross national expenditure (constant LCU)
7806,Gross value added at basic prices (GVA) (constant 2015 US$)
7807,Gross value added at basic prices (GVA) (constant LCU)
7811,Households and NPISHs Final consumption expenditure (constant 2015 US$)
7812,Households and NPISHs Final consumption expenditure (constant LCU)
7815,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
7816,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
7821,Imports of goods and services (constant 2015 US$)
7822,Imports of goods and services (constant LCU)
7826,"Industry (including construction), value added (constant 2015 US$)"
7827,"Industry (including construction), value added (constant LCU)"
7830,"Industry (including construction), value added per worker (constant 2015 US$)"
7840,"Manufacturing, value added (constant 2015 US$)"
7841,"Manufacturing, value added (constant LCU)"
7880,"Net ODA provided, total (constant 2021 US$)"
7955,"Services, value added (constant 2015 US$)"
7956,"Services, value added (constant LCU)"
7959,"Services, value added per worker (constant 2015 US$)"
7964,Taxes less subsidies on products (constant LCU)
7969,Terms of trade adjustment (constant LCU)
7977,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
7979,Adjusted net national income (constant 2015 US$)
7981,Adjusted net national income per capita (constant 2015 US$)
8019,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
8023,Changes in inventories (constant LCU)
8041,Exports as a capacity to import (constant LCU)
8043,Exports of goods and services (constant 2015 US$)
8044,Exports of goods and services (constant LCU)
8053,Final consumption expenditure (constant 2015 US$)
8054,Final consumption expenditure (constant LCU)
8064,GDP (constant 2015 US$)
8065,GDP (constant LCU)
8070,GDP per capita (constant 2015 US$)
8071,GDP per capita (constant LCU)
8074,"GDP per capita, PPP (constant 2021 international $)"
8076,GDP per person employed (constant 2021 PPP $)
8077,"GDP, PPP (constant 2021 international $)"
8080,General government final consumption expenditure (constant 2015 US$)
8081,General government final consumption expenditure (constant LCU)
8085,GNI (constant 2015 US$)
8086,GNI (constant LCU)
8089,GNI per capita (constant 2015 US$)
8090,GNI per capita (constant LCU)
8093,"GNI per capita, PPP (constant 2021 international $)"
8096,"GNI, PPP (constant 2021 international $)"
8103,Gross capital formation (constant 2015 US$)
8104,Gross capital formation (constant LCU)
8107,Gross domestic income (constant LCU)
8110,Gross fixed capital formation (constant 2015 US$)
8111,Gross fixed capital formation (constant LCU)
8114,Gross national expenditure (constant 2015 US$)
8115,Gross national expenditure (constant LCU)
8124,Households and NPISHs Final consumption expenditure (constant 2015 US$)
8125,Households and NPISHs Final consumption expenditure (constant LCU)
8128,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
8129,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
8137,Imports of goods and services (constant 2015 US$)
8138,Imports of goods and services (constant LCU)
8194,"Net ODA provided, total (constant 2021 US$)"
8272,Terms of trade adjustment (constant LCU)
8280,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
8295,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
8296,"Agriculture, forestry, and fishing, value added (constant LCU)"
8299,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
8325,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
8358,Final consumption expenditure (constant 2015 US$)
8359,Final consumption expenditure (constant LCU)
8369,GDP (constant 2015 US$)
8370,GDP (constant LCU)
8375,GDP per capita (constant 2015 US$)
8376,GDP per capita (constant LCU)
8379,"GDP per capita, PPP (constant 2021 international $)"
8381,GDP per person employed (constant 2021 PPP $)
8382,"GDP, PPP (constant 2021 international $)"
8387,GNI (constant 2015 US$)
8388,GNI (constant LCU)
8391,GNI per capita (constant 2015 US$)
8392,GNI per capita (constant LCU)
8395,"GNI per capita, PPP (constant 2021 international $)"
8398,"GNI, PPP (constant 2021 international $)"
8404,Gross capital formation (constant 2015 US$)
8405,Gross capital formation (constant LCU)
8413,Gross national expenditure (constant 2015 US$)
8414,Gross national expenditure (constant LCU)
8421,Households and NPISHs Final consumption expenditure (constant 2015 US$)
8422,Households and NPISHs Final consumption expenditure (constant LCU)
8425,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
8426,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
8441,"Industry (including construction), value added (constant 2015 US$)"
8442,"Industry (including construction), value added (constant LCU)"
8445,"Industry (including construction), value added per worker (constant 2015 US$)"
8521,Net official development assistance and official aid received (constant 2021 US$)
8523,Net official development assistance received (constant 2021 US$)
8610,"Services, value added (constant 2015 US$)"
8611,"Services, value added (constant LCU)"
8614,"Services, value added per worker (constant 2015 US$)"
8626,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
8628,Adjusted net national income (constant 2015 US$)
8630,Adjusted net national income per capita (constant 2015 US$)
8640,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
8641,"Agriculture, forestry, and fishing, value added (constant LCU)"
8644,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
8669,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
8687,Exports as a capacity to import (constant LCU)
8689,Exports of goods and services (constant 2015 US$)
8690,Exports of goods and services (constant LCU)
8694,External balance on goods and services (constant LCU)
8700,Final consumption expenditure (constant 2015 US$)
8701,Final consumption expenditure (constant LCU)
8711,GDP (constant 2015 US$)
8712,GDP (constant LCU)
8717,GDP per capita (constant 2015 US$)
8718,GDP per capita (constant LCU)
8721,"GDP per capita, PPP (constant 2021 international $)"
8723,GDP per person employed (constant 2021 PPP $)
8724,"GDP, PPP (constant 2021 international $)"
8727,General government final consumption expenditure (constant 2015 US$)
8728,General government final consumption expenditure (constant LCU)
8731,GNI (constant 2015 US$)
8732,GNI (constant LCU)
8735,GNI per capita (constant 2015 US$)
8736,GNI per capita (constant LCU)
8739,"GNI per capita, PPP (constant 2021 international $)"
8742,"GNI, PPP (constant 2021 international $)"
8748,Gross capital formation (constant 2015 US$)
8749,Gross capital formation (constant LCU)
8752,Gross domestic income (constant LCU)
8755,Gross fixed capital formation (constant 2015 US$)
8756,Gross fixed capital formation (constant LCU)
8759,Gross national expenditure (constant 2015 US$)
8760,Gross national expenditure (constant LCU)
8766,Gross value added at basic prices (GVA) (constant 2015 US$)
8767,Gross value added at basic prices (GVA) (constant LCU)
8771,Households and NPISHs Final consumption expenditure (constant 2015 US$)
8772,Households and NPISHs Final consumption expenditure (constant LCU)
8775,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
8776,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
8781,Imports of goods and services (constant 2015 US$)
8782,Imports of goods and services (constant LCU)
8788,"Industry (including construction), value added (constant 2015 US$)"
8789,"Industry (including construction), value added (constant LCU)"
8792,"Industry (including construction), value added per worker (constant 2015 US$)"
8806,"Manufacturing, value added (constant 2015 US$)"
8807,"Manufacturing, value added (constant LCU)"
8845,"Net ODA provided, total (constant 2021 US$)"
8914,"Services, value added (constant 2015 US$)"
8915,"Services, value added (constant LCU)"
8918,"Services, value added per worker (constant 2015 US$)"
8925,Terms of trade adjustment (constant LCU)
8933,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
8935,Adjusted net national income (constant 2015 US$)
8937,Adjusted net national income per capita (constant 2015 US$)
8950,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
8951,"Agriculture, forestry, and fishing, value added (constant LCU)"
8954,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
8980,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
8983,Changes in inventories (constant LCU)
9003,Exports as a capacity to import (constant LCU)
9005,Exports of goods and services (constant 2015 US$)
9006,Exports of goods and services (constant LCU)
9015,Final consumption expenditure (constant 2015 US$)
9016,Final consumption expenditure (constant LCU)
9026,GDP (constant 2015 US$)
9027,GDP (constant LCU)
9032,GDP per capita (constant 2015 US$)
9033,GDP per capita (constant LCU)
9036,"GDP per capita, PPP (constant 2021 international $)"
9038,GDP per person employed (constant 2021 PPP $)
9039,"GDP, PPP (constant 2021 international $)"
9042,General government final consumption expenditure (constant 2015 US$)
9043,General government final consumption expenditure (constant LCU)
9046,GNI (constant 2015 US$)
9047,GNI (constant LCU)
9050,GNI per capita (constant 2015 US$)
9051,GNI per capita (constant LCU)
9054,"GNI per capita, PPP (constant 2021 international $)"
9057,"GNI, PPP (constant 2021 international $)"
9064,Gross capital formation (constant 2015 US$)
9065,Gross capital formation (constant LCU)
9068,Gross domestic income (constant LCU)
9071,Gross fixed capital formation (constant 2015 US$)
9072,Gross fixed capital formation (constant LCU)
9076,Gross national expenditure (constant 2015 US$)
9077,Gross national expenditure (constant LCU)
9083,Gross value added at basic prices (GVA) (constant 2015 US$)
9084,Gross value added at basic prices (GVA) (constant LCU)
9088,Households and NPISHs Final consumption expenditure (constant 2015 US$)
9089,Households and NPISHs Final consumption expenditure (constant LCU)
9092,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
9093,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
9101,Imports of goods and services (constant 2015 US$)
9102,Imports of goods and services (constant LCU)
9106,"Industry (including construction), value added (constant 2015 US$)"
9107,"Industry (including construction), value added (constant LCU)"
9110,"Industry (including construction), value added per worker (constant 2015 US$)"
9122,"Manufacturing, value added (constant 2015 US$)"
9123,"Manufacturing, value added (constant LCU)"
9163,"Net ODA provided, total (constant 2021 US$)"
9247,"Services, value added (constant 2015 US$)"
9248,"Services, value added (constant LCU)"
9251,"Services, value added per worker (constant 2015 US$)"
9258,Taxes less subsidies on products (constant LCU)
9264,Terms of trade adjustment (constant LCU)
9272,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
9274,Adjusted net national income (constant 2015 US$)
9276,Adjusted net national income per capita (constant 2015 US$)
9288,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
9289,"Agriculture, forestry, and fishing, value added (constant LCU)"
9292,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
9316,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
9325,Discrepancy in expenditure estimate of GDP (constant LCU)
9327,Exports as a capacity to import (constant LCU)
9328,Exports of goods and services (constant 2015 US$)
9329,Exports of goods and services (constant LCU)
9332,External balance on goods and services (constant LCU)
9338,Final consumption expenditure (constant 2015 US$)
9339,Final consumption expenditure (constant LCU)
9348,GDP (constant 2015 US$)
9349,GDP (constant LCU)
9354,GDP per capita (constant 2015 US$)
9355,GDP per capita (constant LCU)
9358,"GDP per capita, PPP (constant 2021 international $)"
9360,GDP per person employed (constant 2021 PPP $)
9361,"GDP, PPP (constant 2021 international $)"
9364,General government final consumption expenditure (constant 2015 US$)
9365,General government final consumption expenditure (constant LCU)
9368,GNI (constant 2015 US$)
9369,GNI (constant LCU)
9372,GNI per capita (constant 2015 US$)
9373,GNI per capita (constant LCU)
9376,"GNI per capita, PPP (constant 2021 international $)"
9379,"GNI, PPP (constant 2021 international $)"
9382,Gross capital formation (constant 2015 US$)
9383,Gross capital formation (constant LCU)
9386,Gross domestic income (constant LCU)
9389,Gross fixed capital formation (constant 2015 US$)
9390,Gross fixed capital formation (constant LCU)
9393,Gross national expenditure (constant 2015 US$)
9394,Gross national expenditure (constant LCU)
9398,Gross value added at basic prices (GVA) (constant 2015 US$)
9399,Gross value added at basic prices (GVA) (constant LCU)
9402,Households and NPISHs Final consumption expenditure (constant 2015 US$)
9403,Households and NPISHs Final consumption expenditure (constant LCU)
9406,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
9407,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
9410,Imports of goods and services (constant 2015 US$)
9411,Imports of goods and services (constant LCU)
9417,"Industry (including construction), value added (constant 2015 US$)"
9418,"Industry (including construction), value added (constant LCU)"
9421,"Industry (including construction), value added per worker (constant 2015 US$)"
9430,"Manufacturing, value added (constant 2015 US$)"
9431,"Manufacturing, value added (constant LCU)"
9465,"Net ODA provided, total (constant 2021 US$)"
9467,Net primary income (Net income from abroad) (constant LCU)
9525,"Services, value added (constant 2015 US$)"
9526,"Services, value added (constant LCU)"
9529,"Services, value added per worker (constant 2015 US$)"
9532,Taxes less subsidies on products (constant LCU)
9535,Terms of trade adjustment (constant LCU)
9542,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
9558,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
9559,"Agriculture, forestry, and fishing, value added (constant LCU)"
9562,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
9586,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
9618,GDP (constant 2015 US$)
9619,GDP (constant LCU)
9624,GDP per capita (constant 2015 US$)
9625,GDP per capita (constant LCU)
9628,"GDP per capita, PPP (constant 2021 international $)"
9630,GDP per person employed (constant 2021 PPP $)
9631,"GDP, PPP (constant 2021 international $)"
9637,Gross value added at basic prices (GVA) (constant 2015 US$)
9638,Gross value added at basic prices (GVA) (constant LCU)
9648,"Industry (including construction), value added (constant 2015 US$)"
9649,"Industry (including construction), value added (constant LCU)"
9652,"Industry (including construction), value added per worker (constant 2015 US$)"
9660,"Manufacturing, value added (constant 2015 US$)"
9661,"Manufacturing, value added (constant LCU)"
9726,Net official development assistance and official aid received (constant 2021 US$)
9728,Net official development assistance received (constant 2021 US$)
9799,"Services, value added (constant 2015 US$)"
9800,"Services, value added (constant LCU)"
9803,"Services, value added per worker (constant 2015 US$)"
9805,Taxes less subsidies on products (constant LCU)
9816,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
9818,Adjusted net national income (constant 2015 US$)
9820,Adjusted net national income per capita (constant 2015 US$)
9836,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
9837,"Agriculture, forestry, and fishing, value added (constant LCU)"
9840,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
9864,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
9867,Changes in inventories (constant LCU)
9888,Exports as a capacity to import (constant LCU)
9890,Exports of goods and services (constant 2015 US$)
9891,Exports of goods and services (constant LCU)
9904,Final consumption expenditure (constant 2015 US$)
9905,Final consumption expenditure (constant LCU)
9915,GDP (constant 2015 US$)
9916,GDP (constant LCU)
9921,GDP per capita (constant 2015 US$)
9922,GDP per capita (constant LCU)
9925,"GDP per capita, PPP (constant 2021 international $)"
9927,GDP per person employed (constant 2021 PPP $)
9928,"GDP, PPP (constant 2021 international $)"
9931,General government final consumption expenditure (constant 2015 US$)
9932,General government final consumption expenditure (constant LCU)
9935,GNI (constant 2015 US$)
9936,GNI (constant LCU)
9939,GNI per capita (constant 2015 US$)
9940,GNI per capita (constant LCU)
9943,"GNI per capita, PPP (constant 2021 international $)"
9946,"GNI, PPP (constant 2021 international $)"
9952,Gross capital formation (constant 2015 US$)
9953,Gross capital formation (constant LCU)
9956,Gross domestic income (constant LCU)
9959,Gross fixed capital formation (constant 2015 US$)
9960,Gross fixed capital formation (constant LCU)
9963,Gross national expenditure (constant 2015 US$)
9964,Gross national expenditure (constant LCU)
9970,Gross value added at basic prices (GVA) (constant 2015 US$)
9971,Gross value added at basic prices (GVA) (constant LCU)
9974,Households and NPISHs Final consumption expenditure (constant 2015 US$)
9975,Households and NPISHs Final consumption expenditure (constant LCU)
9978,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
9979,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
9990,Imports of goods and services (constant 2015 US$)
9991,Imports of goods and services (constant LCU)
9998,"Industry (including construction), value added (constant 2015 US$)"
9999,"Industry (including construction), value added (constant LCU)"
10002,"Industry (including construction), value added per worker (constant 2015 US$)"
10011,"Manufacturing, value added (constant 2015 US$)"
10012,"Manufacturing, value added (constant LCU)"
10077,Net official development assistance and official aid received (constant 2021 US$)
10079,Net official development assistance received (constant 2021 US$)
10157,Taxes less subsidies on products (constant LCU)
10161,Terms of trade adjustment (constant LCU)
10170,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
10173,Adjusted net national income (constant 2015 US$)
10175,Adjusted net national income per capita (constant 2015 US$)
10190,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
10191,"Agriculture, forestry, and fishing, value added (constant LCU)"
10194,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
10215,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
10218,Changes in inventories (constant LCU)
10240,Exports as a capacity to import (constant LCU)
10242,Exports of goods and services (constant 2015 US$)
10243,Exports of goods and services (constant LCU)
10255,Final consumption expenditure (constant 2015 US$)
10256,Final consumption expenditure (constant LCU)
10265,GDP (constant 2015 US$)
10266,GDP (constant LCU)
10271,GDP per capita (constant 2015 US$)
10272,GDP per capita (constant LCU)
10275,"GDP per capita, PPP (constant 2021 international $)"
10277,GDP per person employed (constant 2021 PPP $)
10278,"GDP, PPP (constant 2021 international $)"
10281,General government final consumption expenditure (constant 2015 US$)
10282,General government final consumption expenditure (constant LCU)
10285,GNI (constant 2015 US$)
10286,GNI (constant LCU)
10289,GNI per capita (constant 2015 US$)
10290,GNI per capita (constant LCU)
10293,"GNI per capita, PPP (constant 2021 international $)"
10296,"GNI, PPP (constant 2021 international $)"
10302,Gross capital formation (constant 2015 US$)
10303,Gross capital formation (constant LCU)
10306,Gross domestic income (constant LCU)
10309,Gross fixed capital formation (constant 2015 US$)
10310,Gross fixed capital formation (constant LCU)
10314,Gross national expenditure (constant 2015 US$)
10315,Gross national expenditure (constant LCU)
10321,Gross value added at basic prices (GVA) (constant 2015 US$)
10322,Gross value added at basic prices (GVA) (constant LCU)
10325,Households and NPISHs Final consumption expenditure (constant 2015 US$)
10326,Households and NPISHs Final consumption expenditure (constant LCU)
10329,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
10330,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
10341,Imports of goods and services (constant 2015 US$)
10342,Imports of goods and services (constant LCU)
10349,"Industry (including construction), value added (constant 2015 US$)"
10350,"Industry (including construction), value added (constant LCU)"
10353,"Industry (including construction), value added per worker (constant 2015 US$)"
10361,"Manufacturing, value added (constant 2015 US$)"
10362,"Manufacturing, value added (constant LCU)"
10428,Net official development assistance and official aid received (constant 2021 US$)
10430,Net official development assistance received (constant 2021 US$)
10504,"Services, value added (constant 2015 US$)"
10505,"Services, value added (constant LCU)"
10508,"Services, value added per worker (constant 2015 US$)"
10510,Taxes less subsidies on products (constant LCU)
10514,Terms of trade adjustment (constant LCU)
10520,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
10523,Adjusted net national income (constant 2015 US$)
10525,Adjusted net national income per capita (constant 2015 US$)
10540,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
10541,"Agriculture, forestry, and fishing, value added (constant LCU)"
10544,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
10562,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
10565,Changes in inventories (constant LCU)
10583,Exports as a capacity to import (constant LCU)
10585,Exports of goods and services (constant 2015 US$)
10586,Exports of goods and services (constant LCU)
10598,Final consumption expenditure (constant 2015 US$)
10599,Final consumption expenditure (constant LCU)
10608,GDP (constant 2015 US$)
10609,GDP (constant LCU)
10614,GDP per capita (constant 2015 US$)
10615,GDP per capita (constant LCU)
10618,"GDP per capita, PPP (constant 2021 international $)"
10620,GDP per person employed (constant 2021 PPP $)
10621,"GDP, PPP (constant 2021 international $)"
10624,General government final consumption expenditure (constant 2015 US$)
10625,General government final consumption expenditure (constant LCU)
10628,GNI (constant 2015 US$)
10629,GNI (constant LCU)
10632,GNI per capita (constant 2015 US$)
10633,GNI per capita (constant LCU)
10636,"GNI per capita, PPP (constant 2021 international $)"
10639,"GNI, PPP (constant 2021 international $)"
10645,Gross capital formation (constant 2015 US$)
10646,Gross capital formation (constant LCU)
10649,Gross domestic income (constant LCU)
10652,Gross fixed capital formation (constant 2015 US$)
10653,Gross fixed capital formation (constant LCU)
10657,Gross national expenditure (constant 2015 US$)
10658,Gross national expenditure (constant LCU)
10664,Gross value added at basic prices (GVA) (constant 2015 US$)
10665,Gross value added at basic prices (GVA) (constant LCU)
10668,Households and NPISHs Final consumption expenditure (constant 2015 US$)
10669,Households and NPISHs Final consumption expenditure (constant LCU)
10672,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
10673,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
10683,Imports of goods and services (constant 2015 US$)
10684,Imports of goods and services (constant LCU)
10691,"Industry (including construction), value added (constant 2015 US$)"
10692,"Industry (including construction), value added (constant LCU)"
10695,"Industry (including construction), value added per worker (constant 2015 US$)"
10704,"Manufacturing, value added (constant 2015 US$)"
10705,"Manufacturing, value added (constant LCU)"
10768,Net official development assistance and official aid received (constant 2021 US$)
10770,Net official development assistance received (constant 2021 US$)
10839,"Services, value added (constant 2015 US$)"
10840,"Services, value added (constant LCU)"
10843,"Services, value added per worker (constant 2015 US$)"
10845,Taxes less subsidies on products (constant LCU)
10849,Terms of trade adjustment (constant LCU)
10855,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
10898,GDP per capita (constant 2015 US$)
10963,Net official development assistance and official aid received (constant 2021 US$)
10965,Net official development assistance received (constant 2021 US$)
11025,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
11041,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
11042,"Agriculture, forestry, and fishing, value added (constant LCU)"
11045,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
11067,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
11101,GDP (constant 2015 US$)
11102,GDP (constant LCU)
11107,GDP per capita (constant 2015 US$)
11108,GDP per capita (constant LCU)
11111,"GDP per capita, PPP (constant 2021 international $)"
11113,GDP per person employed (constant 2021 PPP $)
11114,"GDP, PPP (constant 2021 international $)"
11128,Gross value added at basic prices (GVA) (constant 2015 US$)
11129,Gross value added at basic prices (GVA) (constant LCU)
11143,"Industry (including construction), value added (constant 2015 US$)"
11144,"Industry (including construction), value added (constant LCU)"
11147,"Industry (including construction), value added per worker (constant 2015 US$)"
11215,Net official development assistance and official aid received (constant 2021 US$)
11217,Net official development assistance received (constant 2021 US$)
11290,"Services, value added (constant 2015 US$)"
11291,"Services, value added (constant LCU)"
11294,"Services, value added per worker (constant 2015 US$)"
11307,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
11323,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
11324,"Agriculture, forestry, and fishing, value added (constant LCU)"
11327,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
11351,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
11368,Exports as a capacity to import (constant LCU)
11369,Exports of goods and services (constant 2015 US$)
11370,Exports of goods and services (constant LCU)
11391,GDP (constant 2015 US$)
11392,GDP (constant LCU)
11397,GDP per capita (constant 2015 US$)
11398,GDP per capita (constant LCU)
11401,"GDP per capita, PPP (constant 2021 international $)"
11403,GDP per person employed (constant 2021 PPP $)
11404,"GDP, PPP (constant 2021 international $)"
11420,Gross domestic income (constant LCU)
11428,Gross value added at basic prices (GVA) (constant 2015 US$)
11429,Gross value added at basic prices (GVA) (constant LCU)
11441,Imports of goods and services (constant 2015 US$)
11442,Imports of goods and services (constant LCU)
11448,"Industry (including construction), value added (constant 2015 US$)"
11449,"Industry (including construction), value added (constant LCU)"
11450,"Industry (including construction), value added per worker (constant 2015 US$)"
11458,"Manufacturing, value added (constant 2015 US$)"
11459,"Manufacturing, value added (constant LCU)"
11521,Net official development assistance and official aid received (constant 2021 US$)
11523,Net official development assistance received (constant 2021 US$)
11585,"Services, value added (constant 2015 US$)"
11586,"Services, value added (constant LCU)"
11589,"Services, value added per worker (constant 2015 US$)"
11594,Terms of trade adjustment (constant LCU)
11602,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
11637,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
11640,Changes in inventories (constant LCU)
11655,Exports as a capacity to import (constant LCU)
11656,Exports of goods and services (constant LCU)
11668,Final consumption expenditure (constant LCU)
11675,GDP (constant 2015 US$)
11676,GDP (constant LCU)
11681,GDP per capita (constant 2015 US$)
11682,GDP per capita (constant LCU)
11685,"GDP per capita, PPP (constant 2021 international $)"
11687,GDP per person employed (constant 2021 PPP $)
11688,"GDP, PPP (constant 2021 international $)"
11691,General government final consumption expenditure (constant LCU)
11694,GNI (constant LCU)
11697,GNI per capita (constant LCU)
11700,"GNI per capita, PPP (constant 2021 international $)"
11703,"GNI, PPP (constant 2021 international $)"
11707,Gross capital formation (constant LCU)
11710,Gross domestic income (constant LCU)
11713,Gross fixed capital formation (constant LCU)
11716,Gross national expenditure (constant LCU)
11722,Households and NPISHs Final consumption expenditure (constant LCU)
11725,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
11734,Imports of goods and services (constant LCU)
11798,Net official development assistance and official aid received (constant 2021 US$)
11800,Net official development assistance received (constant 2021 US$)
11864,Terms of trade adjustment (constant LCU)
11872,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
