Series Name,id
"Net financial account (BoP, current US$)",4
"Net bilateral aid flows from DAC donors, United States (current US$)",4
Net primary income (Net income from abroad) (current US$),4
"Net bilateral aid flows from DAC donors, Norway (current US$)",4
"Net trade in goods and services (BoP, current US$)",4
"Official exchange rate (LCU per US$, period average)",4
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",4
"Physicians (per 1,000 people)",4
"PPP conversion factor, GDP (LCU per international $)",4
"Revenue, excluding grants (current LCU)",4
"Service exports (BoP, current US$)",4
"Adjusted net savings, including particulate emission damage (current US$)",4
"Birth rate, crude (per 1,000 people)",4
Commercial service imports (current US$),4
Arable land (hectares),4
Broad money (current LCU),3
Total reserves in months of imports,3
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),3
Young people (ages 15-24) newly infected with HIV,3
"Service imports (BoP, current US$)",3
Refugee population by country or territory of origin,3
"Population ages 65 and above, male",3
"Population, female",3
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",3
"Net ODA provided, to the least developed countries (current US$)",3
Households and NPISHs final consumption expenditure: linked series (current LCU),3
GNI: linked series (current LCU),3
GDP deflator: linked series (base year varies by country),3
"Mortality rate, infant, female (per 1,000 live births)",3
"Mortality rate, infant, male (per 1,000 live births)",3
Gross fixed capital formation (current US$),3
"Net bilateral aid flows from DAC donors, Finland (current US$)",3
"IBRD loans and IDA credits (DOD, current US$)",3
"Air transport, freight (million ton-km)",3
Social contributions (current LCU),3
Gross savings (current LCU),3
Tax revenue (current LCU),3
Taxes less subsidies on products (current LCU),3
Surface area (sq. km),3
Taxes on goods and services (current LCU),3
"Population ages 0-14, total",3
Population in urban agglomerations of more than 1 million,3
"Foreign direct investment, net outflows (BoP, current US$)",3
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",3
Population in largest city,3
Children (0-14) living with HIV,3
"Patent applications, residents",3
"PPP conversion factor, private consumption (LCU per international $)",3
"Debt service on external debt, total (TDS, current US$)",3
Customs and other import duties (current LCU),3
Number of under-five deaths,3
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",3
GNI (current LCU),3
"GDP, PPP (current international $)",3
"Imports of goods, services and primary income (BoP, current US$)",3
"Net trade in goods (BoP, current US$)",3
"Net bilateral aid flows from DAC donors, Sweden (current US$)",3
Other taxes (current LCU),3
"Exports of goods and services (BoP, current US$)",3
"Net official flows from UN agencies, IFAD (current US$)",3
Net official development assistance received (current US$),3
Net official development assistance and official aid received (current US$),3
Net migration,3
Taxes on international trade (current LCU),2
"School enrollment, primary (gross), gender parity index (GPI)",2
"School enrollment, tertiary (gross), gender parity index (GPI)",2
Primary school starting age (years),2
Price level ratio of PPP conversion factor (GDP) to market exchange rate,2
"Population ages 15-64, total",2
Fixed telephone subscriptions,2
Export unit value index (2015 = 100),2
"Net financial flows, bilateral (NFL, current US$)",2
"Mortality rate, under-5, male (per 1,000 live births)",2
"Life expectancy at birth, total (years)",2
Lower secondary school starting age (years),2
"Net bilateral aid flows from DAC donors, Germany (current US$)",2
"Intentional homicides, male (per 100,000 male)",2
Net barter terms of trade index (2015 = 100),2
"Multilateral debt service (TDS, current US$)",2
"Net bilateral aid flows from DAC donors, Australia (current US$)",2
"Taxes on income, profits and capital gains (current LCU)",2
"Gross fixed capital formation, private sector (current LCU)",2
GDP: linked series (current LCU),2
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",2
"External debt stocks, short-term (DOD, current US$)",2
"Population, male",2
"Foreign direct investment, net (BoP, current US$)",2
"Nurses and midwives (per 1,000 people)",2
"Net bilateral aid flows from DAC donors, Ireland (current US$)",2
"Net financial flows, IDA (NFL, current US$)",2
"PPG, IDA (DOD, current US$)",2
Changes in inventories (current LCU),2
"Central government debt, total (current LCU)",2
Sex ratio at birth (male births per female births),1
Taxes on exports (current LCU),1
Import unit value index (2015 = 100),1
"Net bilateral aid flows from DAC donors, France (current US$)",1
"Net bilateral aid flows from DAC donors, Denmark (current US$)",1
"Net bilateral aid flows from DAC donors, Austria (current US$)",1
Net ODA received per capita (current US$),1
Gini index,1
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",1
"Net official flows from UN agencies, UNDP (current US$)",1
"Net official flows from UN agencies, UNFPA (current US$)",1
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",1
"Net financial flows, multilateral (NFL, current US$)",1
"Net incurrence of liabilities, total (current LCU)",1
"External debt stocks, total (DOD, current US$)",1
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1
"External debt stocks, long-term (DOD, current US$)",1
"Net bilateral aid flows from DAC donors, Spain (current US$)",1
"Net bilateral aid flows from DAC donors, Italy (current US$)",1
"PPG, IBRD (DOD, current US$)",1
"PNG, commercial banks and other creditors (NFL, current US$)",1
"Exports of goods, services and primary income (BoP, current US$)",1
"Primary education, duration (years)",1
"PPG, official creditors (NFL, US$)",1
"Portfolio equity, net inflows (BoP, current US$)",1
"Population ages 65 and above, total",1
Children (ages 0-14) newly infected with HIV,1
"School enrollment, secondary (gross), gender parity index (GPI)",1
"School enrollment, primary and secondary (gross), gender parity index (GPI)",1
Refugee population by country or territory of asylum,1
Broad money to total reserves ratio,1
Real effective exchange rate index (2010 = 100),1
"Secondary education, teachers, female",1
"Secondary education, teachers",1
"Use of IMF credit (DOD, current US$)",1
