id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00340100000033,1.136415337530031,1.1101345425803189,1.0621452137984326,1.1036662487319022,1.1729190161664549,1.2203565173307636,1.2255809758835639,1.2784893544085223,1.3666233381632287,1.3911562961122073,1.3548327112748628,1.3193877948332202,1.3329979178063993,1.3341358535043906,1.2973120329537164,1.241798694248288,1.3315735390960723,1.3312171648973223,1.2902226351628483,1.3291086371397256,1.375819740894788,1.3933824009216662,1.5167486955988105,1.5450753223148004,1.5330732522518067,1.551794304368339,1.5949290486221543,1.6155764821253287,1.5544498976892065,,
00350104000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00360100000035,16.43071223350057,16.259654758980336,16.25586249243785,15.747412255037363,15.596351560741544,15.632998556427905,15.758310717397524,15.68123389916856,15.83346970566725,15.895265499377865,15.848370084971307,15.662188702039709,15.57450743649025,15.457429806595895,15.482609208532917,15.969141863015027,16.95783512689,16.526598095082772,16.61390400126899,16.85239549101008,17.00125788445365,17.152555689388958,17.368333810435335,17.42073856037119,17.29495588711944,17.54059795513111,17.78184479106918,18.889375782630015,18.748733549451888,,
00370105000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00380100000037,4.386048605820104,4.536865932055702,4.308681117120149,4.31306787651944,4.372450605205818,4.0279088512090615,3.984450147607192,4.037315025242769,4.161729818489644,4.200516187934591,4.29498018534838,4.18867077850916,4.114847157577252,4.159723234926766,4.107311874829256,4.1269342872454695,4.22367040982872,4.241089419730867,4.228541093394258,4.099314696650641,4.317554564340897,4.275137931384747,3.9683611271635715,3.9153732614535204,3.948298159085889,3.863680774529752,3.8646804185647463,3.8319457657712985,3.8250306985958615,,
00390105000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00400100000039,0.6394107451737928,0.5569251547665558,0.5495129234384155,0.7163351021849639,0.6357415042299509,0.3416186045865227,0.5315742966422671,1.0732214106949074,0.8952954606237433,0.8010713086531703,0.9556256984468966,1.1766024588312143,1.5425163218612665,1.5376565504038946,1.4574047359182944,2.1064468419296882,1.0762141888220096,1.3222750323314076,1.8249450905452214,1.6094952185475806,1.4409105351399367,1.2749677029458817,0.6429200561007724,0.5362162751210047,0.6998838280080483,0.9981897928536244,0.8529116490800982,0.47370348701661175,1.000425209316988,,
00410104000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00420100000041,20.43399640004911,21.41435002967028,22.231737769039995,24.20181526608254,24.36586790068765,24.107824922791078,23.820917215026753,24.167684679432313,23.26208067601772,22.778211126465116,22.81297353812448,23.746063429344918,24.304199122959925,25.300409939266117,25.50940287014732,25.154479825772103,23.151960157320143,24.881311159102193,25.743888355050395,26.17308916761579,26.0530868821584,26.45458842266627,26.445605873546736,26.071555912614816,26.827116124920483,27.228009733680054,27.060913265650083,26.877908971447447,27.783623174450042,,
00430100000042,0.04226117438249054,0.055544648526632746,0.058425952857067365,0.046517003334699575,0.04259749314813978,0.03626685494487192,0.03483902396792731,0.039739448861709346,0.030209077206755735,0.033319060976587996,0.03436350280219379,0.06241609480575606,0.10216916731262174,0.2038404110406026,0.2991249858298248,0.2951409479579969,0.16849110004669504,0.35171568369508766,0.4444014661906872,0.23737438208049383,0.20067792382722577,0.15035193631893437,0.0951935712785829,0.1082211155366548,0.12047728307589853,0.12898825161872937,0.11402606502216717,0.1392737592877632,0.41642115874331626,,
00440104000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00450100000044,0.7614437399819298,0.69788416864028,0.7028644365187313,0.8546708792930252,0.7614990877158858,0.45627966419303884,0.6298779488251113,1.1817886496032128,0.9846056251856745,0.895381413178717,1.0685043779436518,1.300556254989551,1.7103450841717123,1.8075267210421753,1.8370512445754918,2.490417988337566,1.3217973525114304,1.7536676746183708,2.3571301075314133,1.9265770319426865,1.7196294684803297,1.50867288956991,0.8172207685261313,0.7256716502519603,0.9013812206977904,1.1935283114997388,1.0476244585803125,0.6936718255306381,1.5223589977091152,,
00460100000045,0.07691397994018756,0.08088659207368847,0.0921451267502602,0.0866950742929523,0.0768543943442648,0.07253633574060553,0.05398014987469378,0.0528498280896722,0.04636723567326538,0.05031053739241897,0.06635929407098916,0.04837484499372449,0.04901665316359042,0.05106625091072335,0.06402158050268694,0.06794083682813992,0.0657834999022461,0.06366236383916803,0.05986579066946045,0.06188071958033844,0.0623965238084471,0.0693456104275615,0.07126298023630194,0.0737943373013841,0.0717384017695657,0.050706356542191834,0.050532622213616825,0.05994809413935187,0.056095681241630606,,
00470104000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00480100000047,4.003284166548539,5.154695270689945,5.975875276602146,8.454403011045178,8.769516339946106,8.474826366363173,8.062606497629229,8.486450780263752,7.428610970350471,6.882945627087251,6.964603453153174,8.08387472730521,8.729691686469675,9.842980132670222,10.026793661614402,9.185337962757076,6.194125030430143,8.354713064019425,9.129984353781406,9.32069367660571,9.05182899770475,9.302032733277311,9.077272063111401,8.650817352243624,9.532160237801044,9.687411778548945,9.279068474580903,7.988533188817431,9.034889624998154,,
00490105000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500100000049,0.30343021067973747,0.2925746309643953,0.27982219736211056,0.27501578569678276,0.27165105932594175,0.2598731464793758,0.2498372897471324,0.24657497451759713,0.24084597721259798,0.2345983199250026,0.22450000111556145,0.2137897471497982,0.2129641558210016,0.20992121161019517,0.2122860216343741,0.23877334781620224,0.24550323980098232,0.24893692413746196,0.24756629134811134,0.24978305518943322,0.25132303780599613,0.2490585306215821,0.25405108436151724,0.2476482421656453,0.24321435435884634,0.24055221010810793,0.24178913319406417,0.2528542715534784,0.24231434476648306,,
00510105000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
